Team,Player,Goals,Assists,xG,xA,Goal Involvements,xGI,Difference (GI-xGI),% [(GI/xGI)-1]*100,G/xG*100 (%)
LEI,Tielemans,3,6,2.79,5.19,9,7.98,1.02,12.8,1.075
ARS,Torreira,1,1,1.46,0.83,2,2.29,-0.29,-12.7,0.685
CRY,Townsend,1,1,0.4,1.71,2,2.11,-0.11,-5.2,2.5
WOL,Traore,4,9,3.71,7.55,13,11.26,1.74,15.5,1.078
AVL,Trezeguet,6,2,5.35,0.96,8,6.31,1.69,26.8,1.121
BHA,Trossard,5,5,5.25,4.63,10,9.88,0.12,1.2,0.952
LEI,Vardy,23,7,18.9,6.37,30,25.27,4.73,18.7,1.217
BUR,Vydra,2,1,4,0.75,3,4.75,-1.75,-36.8,0.5
EVE,Walcott,2,4,3.48,3.97,6,7.45,-1.45,-19.5,0.575
SOU,Ward-Prowse,5,4,7.06,5.76,9,12.82,-3.82,-29.8,0.708
AVL,Wesley,5,1,7.27,0.88,6,8.15,-2.15,-26.4,0.688
BUR,Westwood,2,7,1.18,7.08,9,8.26,0.74,9,1.695
LIV,Wijnaldum,4,0,2.65,0.81,4,3.46,0.54,15.6,1.509
CHE,Willian,9,9,8.14,8.68,18,16.82,1.18,7,1.106
ARS,Willock,1,1,2.32,1.05,2,3.37,-1.37,-40.7,0.431
TOT,Winks,0,0,0.39,0.9,0,1.29,-1.29,-100,0
BUR,Wood,14,1,17.23,1.47,15,18.7,-3.7,-19.8,0.813
ARS,Xhaka,1,2,0.57,0.97,3,1.54,1.46,94.8,1.754
WHU,Yarmolenko,5,1,2.63,3.43,6,6.06,-0.06,-1,1.901
CRY,Zaha,4,6,4.93,3.74,10,8.67,1.33,15.3,0.811
,,,,,,,,,,
