Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
18,Cardiff City,19,6,2,11,21,38,-17,20,1.05,23,26.1,-3,-0.16,19,4,2,13,13,31,-18,14,0.74,16.7,35.7,-19,-1
19,Fulham,19,6,3,10,22,36,-14,21,1.11,22.6,27.8,-5.2,-0.27,19,1,2,16,12,45,-33,5,0.26,17.1,37.4,-20.4,-1.07
20,Huddersfield,19,2,3,14,10,31,-21,9,0.47,15.5,30.6,-15.1,-0.79,19,1,4,14,12,45,-33,7,0.37,13.4,32.7,-19.4,-1.02
1,Manchester City,19,16,2,1,61,14,47,50,2.63,43.4,10.7,32.7,1.72,19,16,2,1,45,13,32,50,2.63,36.7,12.2,24.5,1.29
2,Manchester Utd,19,15,2,2,38,9,29,47,2.47,32,14.9,17,0.9,19,10,4,5,30,19,11,34,1.79,25,24.6,0.4,0.02
3,Tottenham,19,13,4,2,40,16,24,43,2.26,35.3,14.4,20.8,1.1,19,10,4,5,34,20,14,34,1.79,31.7,18.8,12.9,0.68
4,Liverpool,19,12,7,0,45,10,35,43,2.26,39.2,11.6,27.6,1.45,19,9,5,5,39,28,11,32,1.68,31.2,21.7,9.5,0.5
5,Chelsea,19,11,4,4,30,16,14,37,1.95,29.2,14.6,14.6,0.77,19,10,3,6,32,22,10,33,1.74,26.5,18.1,8.4,0.44
6,Arsenal,19,15,2,2,54,20,34,47,2.47,40.3,23.9,16.4,0.86,19,4,4,11,20,31,-11,16,0.84,22.8,25.8,-3,-0.16
7,Burnley,19,7,5,7,16,17,-1,26,1.37,18.6,22.7,-4.1,-0.22,19,7,7,5,20,22,-2,28,1.47,15.8,25.4,-9.6,-0.51
8,Everton,19,10,4,5,28,22,6,34,1.79,21.7,22.7,-0.9,-0.05,19,3,6,10,16,36,-20,15,0.79,17.9,27.7,-9.8,-0.52
9,Leicester City,19,7,6,6,25,22,3,27,1.42,24.6,20,4.6,0.24,19,5,5,9,31,38,-7,20,1.05,21.1,28.5,-7.4,-0.39
10,Newcastle Utd,19,8,4,7,21,17,4,28,1.47,22.9,20.1,2.8,0.15,19,4,4,11,18,30,-12,16,0.84,19.4,31.1,-11.7,-0.62
11,Crystal Palace,19,7,5,7,29,27,2,26,1.37,33.4,21.9,11.5,0.6,19,4,6,9,16,28,-12,18,0.95,19.6,25.5,-5.9,-0.31
12,Bournemouth,19,7,5,7,26,30,-4,26,1.37,24.4,28.2,-3.8,-0.2,19,4,6,9,19,31,-12,18,0.95,18.3,30.4,-12.1,-0.64
13,West Ham,19,7,6,6,24,26,-2,27,1.42,19,20.9,-1.9,-0.1,19,3,6,10,24,42,-18,15,0.79,18.3,36.9,-18.6,-0.98
14,Watford,19,7,6,6,27,31,-4,27,1.42,22.9,26.9,-4,-0.21,19,4,2,13,17,33,-16,14,0.74,21.9,28.6,-6.7,-0.35
15,Brighton,19,7,8,4,24,25,-1,29,1.53,23.3,21,2.2,0.12,19,2,5,12,10,29,-19,11,0.58,13,28.7,-15.6,-0.82
16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,17.6,23.6,-6,-0.32,19,3,5,11,12,33,-21,14,0.74,15,30.1,-15.1,-0.79
17,Southampton,19,4,7,8,20,26,-6,19,1,22.7,20.1,2.6,0.14,19,3,8,8,17,30,-13,17,0.89,17.4,25.5,-8.1,-0.43
18,Swansea City,19,6,3,10,17,24,-7,21,1.11,19.8,24.4,-4.6,-0.24,19,2,6,11,11,32,-21,12,0.63,10.4,34.1,-23.6,-1.24
19,Stoke City,19,5,5,9,20,30,-10,20,1.05,21.8,28,-6.2,-0.32,19,2,7,10,15,38,-23,13,0.68,15.3,31.7,-16.5,-0.87
20,West Brom,19,3,9,7,21,29,-8,18,0.95,20.3,20.8,-0.4,-0.02,19,3,4,12,10,27,-17,13,0.68,14.1,26.9,-12.8,-0.68
1,Chelsea,19,17,0,2,55,17,38,51,2.68,19,13,3,3,30,16,14,42,2.21,,,,,,,,
2,Tottenham,19,17,2,0,47,9,38,53,2.79,19,9,6,4,39,17,22,33,1.74,,,,,,,,
3,Manchester City,19,11,7,1,37,17,20,40,2.11,19,12,2,5,43,22,21,38,2,,,,,,,,
4,Liverpool,19,12,5,2,45,18,27,41,2.16,19,10,5,4,33,24,9,35,1.84,,,,,,,,
5,Arsenal,19,14,3,2,39,16,23,45,2.37,19,9,3,7,38,28,10,30,1.58,,,,,,,,
6,Manchester Utd,19,8,10,1,26,12,14,34,1.79,19,10,5,4,28,17,11,35,1.84,,,,,,,,
7,Everton,19,13,4,2,42,16,26,43,2.26,19,4,6,9,20,28,-8,18,0.95,,,,,,,,
8,Southampton,19,6,6,7,17,21,-4,24,1.26,19,6,4,9,24,27,-3,22,1.16,,,,,,,,
9,Bournemouth,19,9,4,6,35,29,6,31,1.63,19,3,6,10,20,38,-18,15,0.79,,,,,,,,
10,West Brom,19,9,2,8,27,22,5,29,1.53,19,3,7,9,16,29,-13,16,0.84,,,,,,,,
11,West Ham,19,7,4,8,19,31,-12,25,1.32,19,5,5,9,28,33,-5,20,1.05,,,,,,,,
12,Leicester City,19,10,4,5,31,25,6,34,1.79,19,2,4,13,17,38,-21,10,0.53,,,,,,,,
13,Stoke City,19,7,6,6,24,24,0,27,1.42,19,4,5,10,17,32,-15,17,0.89,,,,,,,,
14,Crystal Palace,19,6,2,11,24,25,-1,20,1.05,19,6,3,10,26,38,-12,21,1.11,,,,,,,,
15,Swansea City,19,8,3,8,27,34,-7,27,1.42,19,4,2,13,18,36,-18,14,0.74,,,,,,,,
16,Burnley,19,10,3,6,26,20,6,33,1.74,19,1,4,14,13,35,-22,7,0.37,,,,,,,,
17,Watford,19,8,4,7,25,29,-4,28,1.47,19,3,3,13,15,39,-24,12,0.63,,,,,,,,
18,Hull City,19,8,4,7,28,35,-7,28,1.47,19,1,3,15,9,45,-36,6,0.32,,,,,,,,
19,Middlesbrough,19,4,6,9,17,23,-6,18,0.95,19,1,7,11,10,30,-20,10,0.53,,,,,,,,
20,Sunderland,19,3,5,11,16,34,-18,14,0.74,19,3,1,15,13,35,-22,10,0.53,,,,,,,,
